"ID","Latitude","Longitude","Country","Adm1","Adm2","Adm3","pH","Conductivity","CaCO3","Organic_matter","P","Sand","Lime","Clay","Soil_texture","Altitude"
115,-12.0771,-76.9465,"Peru","Lima","Lima","La Molina",7.2,0.61,0.28,0.7,7.9,64,26,10,"Sandy Loam",243
190,-12.0281,-76.9108,"Peru","Lima","Lima","Ate",7.3,1.8,0.2,2.6,12.6,50,26,24,"Sandy Clay Loam",373
1181,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",7.8,0.19,0,1.5,17.7,32,42,26,"Loam",3299
172,-12.0276,-75.2443,"Peru","Junin","Huancayo","San Agustin",7.8,0.74,1.52,1.59,23.2,22,39,39,"Clay Loam",3207
451,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7.1,4.1,0,0.55,15.8,72,20,8,"Sandy Loam",78
488,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7.6,5.75,0,0.41,14,76,20,4,"Loamy Sand",78
1041,-12.0771,-76.952,"Peru","Lima","Lima","La Molina",7.5,3.21,0,1.1,14.9,50,30,20,"Loam",235
1125,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",7.4,0.23,0,0.8,10.8,42,30,28,"Clay Loam",3299
1017,-12.0781,-76.948,"Peru","Lima","Lima","La Molina",7.9,1.91,0.48,1.02,50,64,24,12,"Sandy Loam",239
240,-14.0701,-75.7255,"Peru","Ica","Ica","Ica",7.7,0.24,1.52,1.17,4.9,70,18,12,"Sandy Loam",409
869,-12.0771,-76.952,"Peru","Lima","Lima","La Molina",7.6,1.62,0,1.2,18.7,54,26,20,"Sandy Clay Loam",235
1500,-15.8392,-70.0292,"Peru","Puno","Puno","Puno",5.03,0.06,0,1.8,8.6,50,28,22,"Loam",3846
1320,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",5,0.17,0,1.9,34.7,34,40,26,"Clay Loam",3299
612,-11.1652,-75.9956,"Peru","Junin","Junín","Junin",6.4,0.37,0.5,3.5,23.6,54,34,12,"Sandy Loam",4111
1157,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",7.5,0.39,5.9,6.6,13.7,62,28,10,"Sandy Loam",3299
1217,-11.8628,-75.4144,"Peru","Junin","Jauja","Leonor Ordoñez",4.2,0.14,0,3.3,11.8,34,46,20,"Loam",3304
1432,-11.2649,-75.6503,"Peru","Junin","Tarma","Huasahuasi",3.8,1.24,0,9.4,64.6,60,34,6,"Sandy Loam",2745
1081,-13.2476,-71.8969,"Peru","Cusco","Calca","Calca",3.91,0.08,0,8,9.4,56,36,8,"Sandy Loam",3961
978,-12.2411,-75.0463,"Peru","Huancavelica","Tayacaja","Pazos",4.4,0.22,0,4,23.5,50,40,10,"Loam",3887
550,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7.3,5.8,0,0.69,21.5,76,18,6,"Sandy Loam",78
602,-12.076,-76.949,"Peru","Lima","Lima","La Molina",7.6,1.35,0.19,1.31,4.8,60,28,12,"Sandy Loam",238
1276,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",8,0.31,13.7,1.2,10.5,20,38,42,"Clay",3299
1322,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",5.7,0.23,0,1.2,12.4,32,38,30,"Clay Loam",3299
1103,-11.8805,-75.3404,"Peru","Junin","Concepción","Matahuasi",7.3,1.09,5.8,6.1,17.7,44,38,18,"Loam",3299
1638,-12.0771,-76.9465,"Peru","Lima","Lima","La Molina",7.32,0.24,0,2.02,6.1,NA,NA,NA,NA,243
129,-5.8939,-76.1069,"Peru","Loreto","Alto Amazonas","Yurimaguas",7.1,0.56,0,1.37,13.8,50,30,20,"Loam",146
48,-12.0276,-75.2443,"Peru","Junin","Huancayo","San Agustin",7.7,0.76,5.14,1.3,14.1,22,33,35,"Clay Loam",3207
1055,-12.0771,-76.952,"Peru","Lima","Lima","La Molina",7.5,3.25,0,1.1,15.8,50,28,22,"Loam",235
265,-10.9758,-74.6282,"Peru","Junin","Chanchamayo","Pichanaqui",5.1,1,0,3.9,4.9,48,36,16,"Loam",493
577,-12.0545,-75.218,"Peru","Junin","Huancayo","El Tambo",5.1,0.55,0,2.5,22.6,44,34,22,"Loam",3269
752,-9.2835,-77.631,"Peru","Ancash","Carhuaz","Acopampa",5.3,0.61,0,1.03,16.3,60,28,12,"Sandy Loam",2740
512,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7,4.1,0,0.83,22.4,70,24,6,"Sandy Loam",78
1547,-15.8392,-70.0292,"Peru","Puno","Puno","Puno",7.6,0.16,5.3,4.5,5,32,44,24,"Loam",3846
1670,-12.0302,-75.244,"Peru","Junin","","Tambo",7.59,0.25,2.2,2.05,5.6,NA,NA,NA,NA,3206
111,-12.0276,-75.2443,"Peru","Junin","Huancayo","San Agustin",7.7,1,0.66,1.44,25.7,22,35,39,"Clay Loam",3207
936,-12.0545,-75.218,"Peru","Junin","Huancayo","El Tambo",7.2,0.4,0.47,1.18,30.3,60,26,10,"Sandy Loam",3269
1669,-12.0284,-75.2452,"Peru","Junin","","Tambo",7.23,0.18,0,1.84,5.5,NA,NA,NA,NA,3208
992,-11.2649,-75.6503,"Peru","Junin","Tarma","Huasahuasi",6.6,4.55,0,5.8,55.6,48,36,16,"Loam",2745
420,-18.1817,-70.4736,"Peru","Tacna","Tacna","Tacna",7.2,4.4,0,0.62,17.7,72,22,6,"Sandy Loam",78
112,-11.5255,-77.2254,"Peru","Lima","Huaral","Huaral",7.2,0.38,10.94,0.9,7,84,12,4,"Loamy Sand",204
192,-12.0281,-76.9108,"Peru","Lima","Lima","Ate",7.3,2.3,0.2,2.6,15.1,52,20,28,"Sandy Clay Loam",373
1685,-15.8326,-70.1928,"Peru","Puno","Puno","Tiquillaca",4.74,0.65,0,0.75,10.7,74,20,6,"Sandy Loam",3951
